custom/avg_center_dev,custom/total_distance,custom/mean_reward,custom/avg_speed,custom/routes_completed,custom/total_reward,rollout/ep_len_mean,time/iterations,time/fps,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,train/learning_rate,train/clip_fraction,train/n_updates,train/value_loss,train/policy_gradient_loss,train/entropy_loss,train/loss,train/explained_variance,train/clip_range,train/approx_kl
0.1265331309334174,602.7093300886295,-0.3174933331705608,17.329359836059616,2.0944309927360774,-417.82122645245795,,,,,,,,,,,,,,,,
,,,,,,1315.0,1,26,-417.821226,2048,78,,,,,,,,,,
0.15964147241764104,533.3612973125091,-0.21809451808127894,21.781319482096574,1.0961002785515321,-238.59540278091916,,,,,,,0.0003,0.022705078125,10,156.62775070667266,-0.007178854101221077,-0.6826406287029385,49.2365608215332,0.003738105297088623,0.2,0.010810042
,,,,,,1204.0,2,26,-328.20831450000003,4096,155,,,,,,,,,,
,,,,,,1204.0,3,25,-328.20831450000003,6144,239,0.0003,0.047509765625,20,241.2983835697174,-0.01611166388320271,-0.6647298267111182,112.78753662109375,0.2126704454421997,0.2,0.009881622
,,,,,,1204.0,4,25,-328.20831450000003,8192,323,0.0003,0.057763671875,30,0.12246783912414685,-0.007331932477245573,-0.6362090542912483,-0.03673673793673515,-1.204606533050537,0.2,0.0073080654
,,,,,,1204.0,5,25,-328.20831450000003,10240,406,0.0003,0.11328125,40,0.012280509769334457,-0.012023623523418792,-0.6647658552974463,-0.030782341957092285,-0.7824487686157227,0.2,0.009284928
,,,,,,1204.0,6,25,-328.20831450000003,12288,486,0.0003,0.080908203125,50,2070.5268730163575,-0.012175456999102607,-0.48729312838986516,694.658447265625,-0.12162137031555176,0.2,0.007425432
,,,,,,1204.0,7,25,-328.20831450000003,14336,566,0.0003,0.0,60,3320.3655326843264,-0.0023624046298209578,-0.43160961335524917,1153.4798583984375,0.022468924522399902,0.2,0.0011691195
,,,,,,1204.0,8,25,-328.20831450000003,16384,645,0.0003,0.0,70,3786.2636741638185,-0.002029225422302261,-0.400860895216465,1437.411865234375,8.994340896606445e-05,0.2,0.0009050309
,,,,,,1204.0,9,25,-328.20831450000003,18432,724,0.0003,0.0,80,5718.234506988525,-0.002299756067804992,-0.3763532105833292,3421.880859375,5.412101745605469e-05,0.2,0.0006534939
,,,,,,1204.0,10,25,-328.20831450000003,20480,803,0.0003,0.0,90,5706.95023803711,-0.0005701651884010061,-0.3584780802950263,2689.921630859375,2.1696090698242188e-05,0.2,0.000114359485
,,,,,,1204.0,11,25,-328.20831450000003,22528,881,0.0003,0.0,100,7262.808140563965,-0.0014677131810458377,-0.3435974336229265,3492.268798828125,1.5437602996826172e-05,0.2,0.00032150172
,,,,,,1204.0,12,25,-328.20831450000003,24576,961,0.0003,0.0,110,6010.379302978516,-0.0006718497403198853,-0.3309177376329899,2797.2041015625,8.64267349243164e-06,0.2,0.0001575099
,,,,,,1204.0,13,25,-328.20831450000003,26624,1040,0.0003,0.0,120,4569.139255523682,-0.0026584000952425413,-0.306280130147934,2486.644287109375,7.331371307373047e-06,0.2,0.0011737412
,,,,,,1204.0,14,25,-328.20831450000003,28672,1120,0.0003,0.0,130,4805.027165222168,-0.0013654126480105333,-0.28952987398952246,2549.832763671875,6.079673767089844e-06,0.2,0.00044573713
,,,,,,1204.0,15,25,-328.20831450000003,30720,1200,0.0003,0.0,140,5082.655159759522,-0.00047998592926887793,-0.27782939206808804,2370.28857421875,3.6954879760742188e-06,0.2,8.703832e-05
,,,,,,1204.0,16,25,-328.20831450000003,32768,1282,0.0003,0.0,150,6518.699308776855,-0.0016688979274476878,-0.2597710409667343,3502.17431640625,2.5033950805664062e-06,0.2,0.0005433331
,,,,,,1204.0,17,25,-328.20831450000003,34816,1364,0.0003,0.0,160,5388.652361297607,-0.002243163180537522,-0.23647817680612207,2435.378173828125,2.6226043701171875e-06,0.2,0.0009525695
,,,,,,1204.0,18,25,-328.20831450000003,36864,1445,0.0003,0.0,170,8118.715884399414,-0.0005447330302558839,-0.2153005339205265,3764.28759765625,1.430511474609375e-06,0.2,9.383648e-05
,,,,,,1204.0,19,25,-328.20831450000003,38912,1524,0.0003,0.0,180,7677.457130432129,-0.0003581655575544573,-0.20869845682755112,3896.00048828125,1.0728836059570312e-06,0.2,5.428857e-05
,,,,,,1204.0,20,25,-328.20831450000003,40960,1602,0.0003,0.0,190,7138.208776855468,-7.497264014091342e-05,-0.2037974067032337,3493.51171875,8.344650268554688e-07,0.2,1.9665167e-06
,,,,,,1204.0,21,25,-328.20831450000003,43008,1681,0.0003,0.0,200,7472.1232986450195,-0.0005293250986142084,-0.19825195893645287,3920.129638671875,7.152557373046875e-07,0.2,0.00014212233
,,,,,,1204.0,22,25,-328.20831450000003,45056,1760,0.0003,0.0,210,7479.916355895996,-0.00044726153137162326,-0.18792695701122283,3775.055908203125,7.152557373046875e-07,0.2,0.00010728525
,,,,,,1204.0,23,25,-328.20831450000003,47104,1839,0.0003,0.0,220,7881.751354980469,-0.00026714833511505277,-0.18295572851784528,3234.354736328125,7.748603820800781e-07,0.2,2.1399319e-05
,,,,,,1204.0,24,25,-328.20831450000003,49152,1918,0.0003,0.0,230,8090.074491882324,-0.00026624290912877766,-0.17775772633031012,3776.532958984375,3.5762786865234375e-07,0.2,1.8227438e-05
,,,,,,1204.0,25,25,-328.20831450000003,51200,1998,0.0003,0.0001953125,240,5947.658082580567,-0.0015473626175662504,-0.16451763636432587,2995.060791015625,4.76837158203125e-07,0.2,0.0009643932
